,ValueType,value,Iteration,Variable,Model,Dataset,DataType
26,accuracy,0.16666666666666666,6,50%,LabelSpreading_knn,iris,numeric
27,accuracy,0.16666666666666666,7,50%,LabelSpreading_knn,iris,numeric
28,accuracy,0.16666666666666666,8,50%,LabelSpreading_knn,iris,numeric
29,accuracy,0.16666666666666666,9,50%,LabelSpreading_knn,iris,numeric
30,time,0.004525899887084961,0,50%,LabelSpreading_knn,iris,numeric
31,time,0.0029244422912597656,1,50%,LabelSpreading_knn,iris,numeric
32,time,0.002724409103393555,2,50%,LabelSpreading_knn,iris,numeric
33,time,0.002761363983154297,3,50%,LabelSpreading_knn,iris,numeric
34,time,0.002912759780883789,4,50%,LabelSpreading_knn,iris,numeric
35,time,0.002656221389770508,5,50%,LabelSpreading_knn,iris,numeric
36,time,0.002709388732910156,6,50%,LabelSpreading_knn,iris,numeric
37,time,0.003072738647460937,7,50%,LabelSpreading_knn,iris,numeric
38,time,0.002764463424682617,8,50%,LabelSpreading_knn,iris,numeric
39,time,0.002759695053100586,9,50%,LabelSpreading_knn,iris,numeric
0,accuracy,0.16666666666666666,0,10%,LabelSpreading_rbf,iris,numeric
1,accuracy,0.16666666666666666,1,10%,LabelSpreading_rbf,iris,numeric
2,accuracy,0.16666666666666666,2,10%,LabelSpreading_rbf,iris,numeric
3,accuracy,0.16666666666666666,3,10%,LabelSpreading_rbf,iris,numeric
4,accuracy,0.16666666666666666,4,10%,LabelSpreading_rbf,iris,numeric
5,accuracy,0.16666666666666666,5,10%,LabelSpreading_rbf,iris,numeric
6,accuracy,0.16666666666666666,6,10%,LabelSpreading_rbf,iris,numeric
7,accuracy,0.16666666666666666,7,10%,LabelSpreading_rbf,iris,numeric
8,accuracy,0.16666666666666666,8,10%,LabelSpreading_rbf,iris,numeric
9,accuracy,0.16666666666666666,9,10%,LabelSpreading_rbf,iris,numeric
10,time,0.04140901565551758,0,10%,LabelSpreading_rbf,iris,numeric
11,time,0.003091573715209961,1,10%,LabelSpreading_rbf,iris,numeric
12,time,0.003042936325073242,2,10%,LabelSpreading_rbf,iris,numeric
13,time,0.003000974655151367,3,10%,LabelSpreading_rbf,iris,numeric
14,time,0.003017425537109375,4,10%,LabelSpreading_rbf,iris,numeric
15,time,0.002945661544799805,5,10%,LabelSpreading_rbf,iris,numeric
16,time,0.0029675960540771484,6,10%,LabelSpreading_rbf,iris,numeric
17,time,0.002945661544799805,7,10%,LabelSpreading_rbf,iris,numeric
18,time,0.0029404163360595703,8,10%,LabelSpreading_rbf,iris,numeric
19,time,0.002943754196166992,9,10%,LabelSpreading_rbf,iris,numeric
20,accuracy,0.16666666666666666,0,50%,LabelSpreading_rbf,iris,numeric
21,accuracy,0.16666666666666666,1,50%,LabelSpreading_rbf,iris,numeric
22,accuracy,0.16666666666666666,2,50%,LabelSpreading_rbf,iris,numeric
23,accuracy,0.16666666666666666,3,50%,LabelSpreading_rbf,iris,numeric
24,accuracy,0.16666666666666666,4,50%,LabelSpreading_rbf,iris,numeric
25,accuracy,0.16666666666666666,5,50%,LabelSpreading_rbf,iris,numeric
26,accuracy,0.16666666666666666,6,50%,LabelSpreading_rbf,iris,numeric
27,accuracy,0.16666666666666666,7,50%,LabelSpreading_rbf,iris,numeric
28,accuracy,0.16666666666666666,8,50%,LabelSpreading_rbf,iris,numeric
29,accuracy,0.16666666666666666,9,50%,LabelSpreading_rbf,iris,numeric
30,time,0.0033767223358154297,0,50%,LabelSpreading_rbf,iris,numeric
31,time,0.003075361251831055,1,50%,LabelSpreading_rbf,iris,numeric
32,time,0.003022909164428711,2,50%,LabelSpreading_rbf,iris,numeric
33,time,0.003006458282470703,3,50%,LabelSpreading_rbf,iris,numeric
34,time,0.002966403961181641,4,50%,LabelSpreading_rbf,iris,numeric
35,time,0.002931118011474609,5,50%,LabelSpreading_rbf,iris,numeric
36,time,0.002938508987426758,6,50%,LabelSpreading_rbf,iris,numeric
37,time,0.0029485225677490234,7,50%,LabelSpreading_rbf,iris,numeric
38,time,0.002923011779785156,8,50%,LabelSpreading_rbf,iris,numeric
39,time,0.002897500991821289,9,50%,LabelSpreading_rbf,iris,numeric
0,accuracy,0.5812780433443796,0,10%,Active_Random,german,numeric
1,accuracy,0.6551382548023086,1,10%,Active_Random,german,numeric
2,accuracy,0.6340025444503058,2,10%,Active_Random,german,numeric
3,accuracy,0.5606763925729443,3,10%,Active_Random,german,numeric
4,accuracy,0.5868825349407873,4,10%,Active_Random,german,numeric
5,accuracy,0.5855054772191812,5,10%,Active_Random,german,numeric
6,accuracy,0.6170225438518121,6,10%,Active_Random,german,numeric
7,accuracy,0.5163817663817665,7,10%,Active_Random,german,numeric
8,accuracy,0.6774963580232937,8,10%,Active_Random,german,numeric
9,accuracy,0.6536344464258087,9,10%,Active_Random,german,numeric
10,time,2.8311607837677,0,10%,Active_Random,german,numeric
11,time,2.8169713020324707,1,10%,Active_Random,german,numeric
12,time,2.828883647918701,2,10%,Active_Random,german,numeric
13,time,2.858813762664795,3,10%,Active_Random,german,numeric
14,time,2.820096254348755,4,10%,Active_Random,german,numeric
15,time,2.8585140705108643,5,10%,Active_Random,german,numeric
16,time,2.8382456302642822,6,10%,Active_Random,german,numeric
17,time,2.8155360221862797,7,10%,Active_Random,german,numeric
18,time,2.8572881221771236,8,10%,Active_Random,german,numeric
19,time,2.849970579147339,9,10%,Active_Random,german,numeric
20,accuracy,0.6308690580344123,0,50%,Active_Random,german,numeric
21,accuracy,0.6490091105475719,1,50%,Active_Random,german,numeric
22,accuracy,0.6762530752032063,2,50%,Active_Random,german,numeric
23,accuracy,0.5622287968441815,3,50%,Active_Random,german,numeric
24,accuracy,0.6657188684747741,4,50%,Active_Random,german,numeric
25,accuracy,0.5691158480074142,5,50%,Active_Random,german,numeric
26,accuracy,0.6459097024008655,6,50%,Active_Random,german,numeric
27,accuracy,0.7332932692307692,7,50%,Active_Random,german,numeric
28,accuracy,0.7052926175183228,8,50%,Active_Random,german,numeric
29,accuracy,0.650550598826461,9,50%,Active_Random,german,numeric
30,time,3.4719064235687256,0,50%,Active_Random,german,numeric
31,time,3.467390298843384,1,50%,Active_Random,german,numeric
32,time,3.4688048362731934,2,50%,Active_Random,german,numeric
33,time,3.5039987564086914,3,50%,Active_Random,german,numeric
34,time,3.538214683532715,4,50%,Active_Random,german,numeric
35,time,3.5073430538177486,5,50%,Active_Random,german,numeric
36,time,3.478469133377075,6,50%,Active_Random,german,numeric
37,time,3.5116291046142583,7,50%,Active_Random,german,numeric
38,time,3.4601154327392583,8,50%,Active_Random,german,numeric
39,time,3.545799732208252,9,50%,Active_Random,german,numeric
0,accuracy,0.6097795334436555,0,10%,Active_Uncertainty,german,numeric
1,accuracy,0.6426071741032372,1,10%,Active_Uncertainty,german,numeric
